CTXS;QCOM;AAPL;IDXX;ALGN;AMGN;CPRT;FAST;CTAS;ORLY;EBAY;BKNG;NFLX;EA;GOOGL;PEP;MNST;COST;XEL;EXC
1/03/2013;56,012905;52,596676;13,726799;46,195;33,509998;85,192886;17,135;21,002575;39,729481;102,440002;22,230989;688,159973;27,040001;17,700001;397,492493;63,620998;15,913333;90,983467;22,713772;25,98431
1/04/2013;48,257271;48,579567;13,73052;43,98;33,119999;86,605705;17,625;20,069674;40,395687;107,32;21,480663;695,98999;30,867144;17,610001;412,697693;66,323135;18,799999;92,972748;24,541435;28,267727
1/05/2013;49,980743;50,062199;13,94604;41,220001;35,75;83,547386;17,195;21,436247;41,097916;108,849998;22,181784;803,929993;32,32143;22,99;436,046051;64,955956;18,196667;94,001678;22,171438;23,617987
1/06/2013;46,859867;48,177372;12,377708;44,845001;37,040001;82,355415;15,4;18,811144;40,998878;112,620003;21,20595;826,669983;30,155714;22,99;440,625641;65,776299;20,276667;95,07225;21,878078;23,47489
1/07/2013;55,911983;51,196186;14,125751;48,994999;43,040001;90,393929;16,254999;20,142181;42,772438;125,300003;21,193651;875,669983;34,925713;26,120001;444,319305;67,654396;20,33;100,962135;23,342688;23,254431
1/08/2013;54,941559;52,560162;15,208604;46,91;43,549999;90,936523;15,885;18,169073;42,997505;122,709999;20,496624;938,530029;40,558571;26,639999;423,873871;64,568901;19,129999;96,190041;21,760527;23,178419
1/09/2013;54,817345;53,666439;14,980044;49,825001;48,099998;93,832916;15,895;20,762884;46,094475;126,699997;22,878811;1010,950012;44,172855;25,549999;438,393402;64,382614;17,416666;99,285065;21,518919;22,759401
1/10/2013;44,08057;55,396328;16,423851;53,93;57,060001;97,370941;16,115;20,581156;48,408207;123,809998;21,611866;1053,829956;46,068573;26,25;515,805786;68,585571;19,076666;101,724754;22,725384;21,914751
1/11/2013;46,052467;58,656811;17,472368;52,080002;54,639999;95,64386;17,215;19,31493;49,965698;124,959999;20,713934;1192,329956;52,257141;22,17;530,325317;68,887344;19,726667;108,129951;22,063938;20,663137
1/12/2013;49,103481;59,473557;17,730829;53,185001;57,139999;96,042717;18,325001;19,721731;54,422009;128,710007;22,497499;1162,400024;52,595715;22,940001;560,915894;67,647583;22,59;102,864471;22,000942;21,265734
1/01/2014;41,976688;59,449528;15,821273;57,130001;59,419998;100,142731;17,139999;18,235651;52,120556;130,979996;21,812773;1144,890015;58,475716;26,4;591,07605;65,99057;22,633333;97,108482;23,224052;22,515745
1/02/2014;46,619198;60,306595;16,631613;62,950001;52,330002;104,41111;18,215;19,6998;55,399212;150,850006;24,096552;1348,839966;63,66143;28,59;608,433411;65,752449;24,666666;100,945801;24,332644;23,610477
1/03/2014;44,592945;63,166134;17,065008;60,700001;51,790001;104,367821;18,195;20,580633;54,440277;148,389999;22,649202;1191,890015;50,290001;29,01;557,812805;68,569107;23,15;96,781715;24,38888;26,333155
1/04/2014;46,044701;63,340439;18,761208;63,220001;50,389999;94,560631;18,135;20,906254;53,819248;148,789993;21,251053;1157,75;46,005714;28,299999;534,880005;71,030754;22,32;100,248093;25,854298;27,486599
1/05/2014;48,109764;64,740639;20,125475;64,239998;54,610001;98,148415;17,785;20,452223;56,732594;147,949997;20,800035;1278,630005;59,689999;35,130001;571,650024;73,04863;23,126667;100,54274;24,953819;28,898993
1/06/2014;48,560051;63,734745;20,797703;66,785004;56,040001;100,712181;17,98;20,762676;58,029442;150,600006;20,525326;1203;62,942856;35,869999;584,669983;73,883896;23,676666;100,103058;26,146339;28,875591
1/07/2014;52,581482;59,636154;21,395247;62,240002;54,209999;108,386612;16,690001;18,610472;57,170959;150;21,66107;1242,449951;60,388573;33,599998;579,549988;73,403419;21,32;102,171852;25,23115;24,601246
1/08/2014;54,545624;61,56147;22,939465;61,985001;54,459999;118,588005;17,215;19,102737;60,403957;155,979996;22,755808;1244,310059;68,234283;37,84;582,359985;77,061066;29,469999;105,568069;26,255138;26,453459
1/09/2014;55,384071;60,820168;22,659969;58,915001;51,68;120,082253;15,66;18,942417;64,468025;150,360001;23,21912;1158,579956;64,454285;35,610001;588,409973;77,561005;30,556667;109,26487;24,903469;27,248848
1/10/2014;49,8643;63,862411;24,29059;70,834999;52,619999;138,651093;16,719999;18,579599;66,888206;175,880005;21,525761;1206,209961;56,110001;40,970001;567,869995;80,698761;33,626667;116,283577;27,683479;29,247145
1/11/2014;51,479084;59,299057;26,748892;74,675003;56,900002;141,327026;18,17;19,181576;66,806007;182,740005;22,501595;1160,189941;49,512856;43,93;549,080017;83,996529;37,383335;123,912575;28,072216;28,911428
1/12/2014;49,530468;60,815708;24,933533;74,135002;55,91;136,700745;18,245001;20,183098;73,383995;192,619995;23,010012;1140,209961;48,80143;47,02;530,659973;79,347778;36,116665;123,910957;29,709909;29,88554
1/01/2015;46,005886;51,103836;26,465057;79,209999;53,049999;130,667679;18,299999;18,842087;73,627228;187,360001;21,73077;1009,47998;63,114285;54,860001;537,549988;79,210052;38,983334;124,994919;31,304991;29,047331
1/02/2015;49,437305;59,326591;29,017591;78,415001;57,349998;135,353378;18,709999;17,742044;78,099106;208,130005;23,743942;1237,47998;67,844284;57,18;562,630005;83,602173;47,040001;128,465286;29,428196;27,338657
1/03/2015;49,584812;56,732948;28,218189;77,239998;53,790001;137,907608;18,785;17,69507;76,368362;216,240005;23,649635;1164,150024;59,527142;58,82;554,700012;80,764198;46,133335;137,149963;29,036156;27,330883
1/04/2015;52,138969;55,960712;28,381468;62,685001;58,84;136,233887;17,785;18,198942;74,796638;217,830002;23,887445;1237,810059;79,5;58,09;548,77002;80,880257;45,703335;129,500351;28,550636;27,664288
1/05/2015;50,469841;57,343281;29,544855;67,800003;60,669998;134,810364;17,299999;17,843723;80,540886;219,529999;25,158491;1172,040039;89,151428;62,759998;545,320007;81,994141;42,426666;129,437073;28,668503;27,509781
1/06/2015;54,467995;51,54147;28,563786;64,139999;62,709999;133,09938;17,74;18,131733;79,137558;225,979996;24,699272;1151,369995;93,848572;66,5;540,039978;79,366737;44,673332;122,601662;27,094055;25,787596
1/07/2015;58,699043;53,357418;27,623274;72,730003;62,700001;153,100693;18,014999;17,994179;79,988922;240,309998;27,394348;1243,569946;114,309998;71,550003;657,5;82,530167;51,183334;131,897095;29,480785;26,337492
1/08/2015;52,876492;46,885597;25,678486;71,470001;56,599998;131,590866;17,51;16,68265;79,51178;240,070007;26,410414;1248,640015;115,029999;67,160004;647,820007;80,174606;140,009995;127,131378;28,681484;26,033819
1/09/2015;53,784809;44,89904;25,231974;74,25;56,759998;120,47908;16,450001;15,847218;80,222794;250;23,809315;1236,859985;103,260002;67,75;638,369995;80,7742;45,046665;131,59523;30,110025;24,613705
1/10/2015;63,434715;49,653843;27,336546;68,620003;65,459999;137,777451;18,105;16,951025;87,089684;276,26001;27,180027;1425,650024;108,379997;72,07;737,390015;88,21151;45,439999;143,929138;30,592323;23,138535
1/11/2015;64,218819;40,770977;27,062035;70,82;66,739998;140,320877;19,735001;17,694309;85,686363;263,869995;28,826416;1469,560059;123,330002;67,790001;762,849976;86,45919;51,536667;146,932983;30,618084;22,633001
1/12/2015;58,730095;42,186157;24,182106;72,919998;65,849998;142,107895;19,004999;17,798962;86,159515;253,419998;26,770863;1274,949951;114,379997;68,720001;778,01001;86,252029;49,653332;147,385773;30,832733;23,264557
1/01/2016;54,700897;38,262051;22,362589;70,139999;66,139999;133,703812;16,754999;17,685591;81,305054;260,899994;22,854601;1064,969971;91,839996;64,550003;761,349976;86,317276;45,009998;137,912903;33,115391;24,77252
1/02/2016;54,848392;42,861271;22,213264;73,160004;66,029999;124,555595;18,875;19,905098;79,478714;260,320007;23,185831;1265,209961;93,410004;64,239998;717,219971;85,030785;41,833332;136,918198;34,259094;26,381012
1/03/2016;61,004772;43,561703;25,174894;78,32;72,690002;132,165298;20,385;21,535658;84,986122;273,660004;23,244282;1288,959961;102,230003;66,110001;762,900024;89,08152;44,459999;144,198242;36,234577;30,336462
1/04/2016;63,535648;43,033566;21,652395;84,349998;72,190002;139,543549;21,42;20,56436;84,957726;262,679993;23,799572;1343,660034;90,029999;61,849998;707,880005;90,138252;48,073334;135,550735;34,975548;29,685062
1/05/2016;65,92675;46,781544;23,066017;87,57;78,830002;139,235046;24,754999;20,36437;89,708099;264,429993;23,828798;1264,329956;102,57;76,75;748,849976;88,571167;50;136,539001;36,146347;28,991369
1/06/2016;62,177044;46,069656;22,216469;92,860001;80,550003;135,005234;24,504999;19,638809;92,859238;271,100006;22,805891;1248,410034;91,480003;75,760002;703,530029;92,747147;53,57;144,129074;39,125782;31,03986
1/07/2016;69,19516;53,818172;24,217342;93,790001;89,150002;152,645081;25,219999;18,913248;101,508308;290,630005;30,355902;1350,810059;91,25;76,32;791,340027;96,071091;53,543335;153,472168;38,735149;31,825249
1/08/2016;67,696815;54,239559;24,656557;112,68;92,900002;150,897079;25,51;19,210264;111,198296;279,950012;31,330095;1416,72998;97,449997;81,230003;789,849976;94,157089;51,296665;148,763916;36,427589;29,025171
1/09/2016;66,159653;59,40934;26,413992;112,730003;93,75;148,873703;26,780001;18,617594;106,552017;280,109985;32,051003;1471,48999;98,550003;85,400002;804,059998;96,617378;48,936668;140,347748;36,233833;28,675713
1/10/2016;65,833611;59,60014;26,528477;107,139999;85,919998;125,981743;26,235001;17,369892;100,940536;264,440002;27,774286;1474,22998;124,870003;78,519997;809,900024;95,222809;48,113335;136,077789;36,897816;29,347588
1/11/2016;67,33194;59,088425;25,822859;117,650002;93,050003;128,578857;27,360001;21,286469;108,444595;274,5;27,092348;1503,680054;117;79,239998;775,880005;88,916069;44,75;138,13916;34,642216;28,003824
1/12/2016;69,3349;56,989571;27,200134;117,269997;96,129997;131,370193;27,705;21,097851;110,764664;278,410004;28,92384;1466,060059;123,800003;78,760002;809,450012;93,627495;44,34;147,795181;36,14299;31,207741
1/01/2017;70,794411;46,70174;28,498844;122,330002;91,690002;140,777512;28,370001;22,310377;111,29184;262,269989;31,008612;1575,130005;140,710007;83,43;820,190002;92,866859;42,599998;151,339813;37,00108;31,550682
1/02/2017;76,970505;49,367649;32,171871;144,940002;102,760002;158,612793;29,57;22,611782;113,112999;271,709991;33,025196;1724,130005;142,130005;86,5;844,929993;98,772827;41,439999;163,552277;39,141273;32,280533
1/03/2017;81,299194;50,587925;33,884594;154,610001;114,709999;148,434204;30,965;23,276169;121,289032;269,839996;32,703709;1779,969971;147,809998;89,519997;847,799988;100,097206;46,169998;155,209091;39,803921;31,937748
1/04/2017;78,910629;47,411846;33,882225;167,729996;134,619995;147,755676;30,9;20,193771;117,387924;248,149994;32,547844;1846,819946;152,199997;94,82;924,52002;102,064148;45,380001;164,307495;40,677853;30,73942
1/05/2017;80,090279;50,526173;36,030972;168,389999;143,330002;140,445679;31,190001;19,648764;120,65641;242,080002;33,414871;1877,089966;163,070007;113,330002;987,090027;105,298714;50,560001;167,000885;43,260292;32,230671
1/06/2017;77,584732;49,197338;34,109711;161,419998;150,119995;156,943039;31,790001;19,812618;120,809776;218,740005;34,018871;1870,52002;149,410004;105,720001;929,679993;104,77002;49,68;154,456497;41,427296;32,33176
1/07/2017;77,409241;47,388744;35,225227;166,460007;151,940002;159,020645;31,49;19,553186;129,254196;204,300003;34,807976;2028,5;181,660004;116,739998;945,5;105,786064;52,75;153,085083;43,046986;34,366501
1/08/2017;76,249069;46,569088;38,841778;155,429993;176,740005;161,991333;32,689999;19,568844;129,407562;196,130005;35,197647;1852,079956;174,710007;121,5;944,27002;104,987747;55,82;151,375702;45,039642;33,94521
1/09/2017;75,059654;46,697567;36,645142;155,490005;179,330002;171,046707;34,369999;20,903399;138,292892;215,369995;37,467522;1830,819946;181,350006;118,059998;973,719971;101,794266;55,25;159,174576;43,05608;34,061966
1/10/2017;80,538742;45,949902;40,192673;166,169998;238,979996;160,744461;36,290001;21,540871;142,855347;210,949997;36,668678;1911,959961;196,429993;119,599998;1033,040039;100,698036;57,93;156,064545;45,390228;36,358688
1/11/2017;85,432877;59,759186;40,860806;156,410004;260,880005;161,148117;43,16;24,184729;150,906784;236,210007;33,775322;1739,709961;187,580002;106,349998;1036,170044;106,44413;62,669998;178,687515;47,305943;37,715027
1/12/2017;85,79361;58,155815;40,382496;156,380005;222,190002;160,624054;43,189999;25,246473;150,998627;240,539993;36,766102;1737,73999;191,960007;105,059998;1053,400024;110,310112;63,290001;180,859985;44,097824;35,915199
1/01/2018;90,434273;61,998348;39,952976;187,039993;262;171,846512;44,07;25,371111;163,227356;264,690002;39,53281;1912,050049;270,299988;126,959999;1182,219971;110,659676;68,230003;189,362701;42,151066;35,095001
1/02/2018;89,693321;59,046043;42,503876;187,229996;262,519989;169,74054;46,810001;25,426926;165,368851;244,190002;41,753979;1905,01001;291,380005;123,699997;1103,920044;100,936722;63,369999;185,504868;39,971478;33,755363
1/03/2018;90,473259;50,766514;40,199734;191,389999;251,130005;158,655441;50,93;25,366516;165,291336;247,380005;39,201595;2080,389893;295,350006;121,239998;1037,140015;100,403191;57,209999;183,594681;42,003296;35,885181
1/04/2018;100,329773;46,735237;39,595936;194,490005;249,850006;162,378052;51,080002;23,229019;165,020004;256,070007;36,902496;2178;312,459991;117,980003;1018,580017;93,537315;55;192,100647;43,640476;36,501518
1/05/2018;102,971832;53,249401;44,773647;208,210007;331,950012;167,161514;54,830002;24,917595;176,599503;269,410004;36,746616;2108,919922;351,600006;130,910004;1100;92,897903;51,16;193,152924;42,410641;38,074535
1/06/2018;102,211372;51,954224;44,52298;217,940002;342,140015;173,112701;56,560001;22,530224;179,332062;273,570007;35,324291;2027,089966;391,429993;141,020004;1129,189941;101,813591;57,299999;204,21109;42,559708;39,523136
1/07/2018;107,212776;59,332611;45,768883;244,929993;356,649994;184,329041;57,389999;26,649611;198,140274;306;32,586811;2028,719971;337,450012;128,75;1227,219971;107,546288;60,02;213,71904;44,053001;39,430355
1/08/2018;111,161217;63,609669;54,749969;254,039993;386,48999;187,386368;64,309998;27,509056;206,754654;335,420013;33,716873;1951,550049;367,679993;113,410004;1231,800049;104,750084;60,889999;227,809982;45,171715;40,552963
1/09/2018;108,37294;66,683235;54,485802;249,660004;391,220001;195,724411;51,529999;27,348789;191,677078;347,320007;32,1679;1984;374,130005;120,489998;1207,079956;104,553688;58,279999;230,089813;44,38203;40,831833
